DATE,CITY,FLOOD
2022-12-03,Kota Adm. Jakarta Selatan,True
2022-12-03,Bandung,True
2022-11-13,Kota Adm. Jakarta Selatan,True
2022-11-13,Kota Adm. Jakarta Timur,True
2022-11-13,Kota Adm. Jakarta Utara,True
2022-11-07,Bandung,True
2022-11-06,Kota Semarang,True
2022-10-31,Kota Bogor,True
2022-10-22,Bandung,True
2022-10-19,Kota Adm. Jakarta Timur,True
2022-10-17,Bogor,True
2022-10-13,Kota Semarang,True
2022-10-12,Bogor,True
2022-10-12,Kota Bogor,True
2022-10-12,Bogor,True
2022-10-09,Bogor,True
2022-10-09,Bogor,True
2022-10-07,Bogor,True
2022-10-06,Kota Adm. Jakarta Selatan,True
2022-10-05,Kota Palembang,True
2022-10-04,Kota Adm. Jakarta Selatan,True
2022-09-19,Bogor,True
2022-09-12,Bogor,True
2022-09-11,Bogor,True
2022-09-11,Kota Bogor,True
2022-08-29,Bogor,True
2022-08-27,Bogor,True
2022-08-27,Kota Bogor,True
2022-08-16,Kota Adm. Jakarta Selatan,True
2022-08-16,Kota Adm. Jakarta Timur,True
2022-08-15,Bogor,True
2022-08-13,Bogor,True
2022-08-10,Bogor,True
2022-07-26,Kota Bogor,True
2022-07-24,Bogor,True
2022-07-16,Bogor,True
2022-07-15,Kota Adm. Jakarta Selatan,True
2022-07-15,Kota Adm. Jakarta Timur,True
2022-07-15,Kota Adm. Jakarta Barat,True
2022-07-15,Kota Adm. Jakarta Utara,True
2022-07-15,Bogor,True
2022-06-22,Bogor,True
2022-06-22,Bogor,True
2022-06-18,Kota Semarang,True
2022-06-14,Bandung,True
2022-06-09,Bogor,True
2022-06-06,Bandung,True
2022-05-31,Bogor,True
2022-05-31,Bogor,True
2022-05-26,Pandeglang,True
2022-05-23,Kota Semarang,True
2022-05-12,Pandeglang,True
2022-05-04,Bogor,True
2022-05-02,Bandung,True
2022-04-25,Bogor,True
2022-04-24,Bandung,True
2022-04-23,Bandung,True
2022-04-19,Bandung,True
2022-04-19,Bandung,True
2022-04-18,Kota Bogor,True
2022-04-18,Bogor,True
2022-04-17,Semarang,True
2022-04-15,Bandung,True
2022-04-15,Bandung Barat,True
2022-04-07,Bandung,True
2022-04-05,Kota Adm. Jakarta Timur,True
2022-04-05,Kota Adm. Jakarta Barat,True
2022-03-19,Pandeglang,True
2022-03-17,Kota Adm. Jakarta Selatan,True
2022-03-17,Kota Adm. Jakarta Barat,True
2022-03-13,Bandung,True
2022-03-13,Bandung,True
2022-03-12,Bandung,True
2022-03-01,Pandeglang,True
2022-02-18,Kota Semarang,True
2022-02-17,Bogor,True
2022-02-17,Kota Adm. Jakarta Selatan,True
2022-02-17,Kota Adm. Jakarta Timur,True
2022-02-16,Bogor,True
2022-02-16,Bogor,True
2022-02-16,Bogor,True
2022-02-15,Bandung Barat,True
2022-02-12,Semarang,True
2022-01-24,Bogor,True
2022-01-19,Kota Semarang,True
2022-01-17,Kota Semarang,True
2022-01-11,Semarang,True
2022-01-10,Kota Bogor,True
2022-01-07,Bandung,True
2022-01-06,Kota Semarang,True
2021-12-31,Kota Semarang,True
2021-12-30,Bogor,True
2021-12-29,Bandung,True
2021-12-27,Bogor,True
2021-12-27,Bandung Barat,True
2021-12-25,Kota Palembang,True
2021-12-24,Bandung,True
2021-12-23,Bandung,True
2021-12-21,Bogor,True
2021-12-20,Kota Adm. Jakarta Barat,True
2021-12-20,Bogor,True
2021-12-20,Bandung,True
2021-12-20,Kota Adm. Jakarta Selatan,True
